company,model,year,fuel_type,transmission,km_driven,owner_type,mileage,engine,price
Audi,A4,2015,CNG,Manual,41579,First,12.74,2419,5985968
Ford,EcoSport,2015,Petrol,Manual,137475,First,12.16,2732,1149518
BMW,5 Series,2018,Electric,Automatic,46853,First,300.0,4859,8494126
Mahindra,Scorpio,2016,Electric,Manual,95165,Second,300.0,2736,1199863
BMW,3 Series,2021,Petrol,Automatic,99800,Third,9.35,4364,2922055
Toyota,Camry,2016,Diesel,Manual,77869,Second,15.81,2428,1938887
Mahindra,XUV700,2025,CNG,Manual,49862,Third,16.37,2593,2184188
Tata,Punch,2018,CNG,Manual,13414,First,22.01,1123,630451
Mercedes,GLA,2020,Diesel,Automatic,125285,Second,9.85,2585,5211683
BMW,5 Series,2024,Electric,Automatic,62493,Second,300.0,2566,7888747
Hyundai,Creta,2025,Diesel,Automatic,21653,Third,21.82,1194,2382659
BMW,3 Series,2025,Petrol,Automatic,94174,Third,10.05,2456,4940934
Tata,Punch,2017,Petrol,Automatic,138080,Third,19.99,1423,678064
BMW,X5,2015,CNG,Automatic,34325,First,14.15,3486,5620475
Toyota,Fortuner,2016,Electric,Manual,37967,Third,300.0,1762,2860088
BMW,X5,2021,Diesel,Manual,86714,Third,14.97,3634,5304905
BMW,5 Series,2016,Diesel,Manual,93627,First,12.12,2086,4176463
Maruti,Swift,2025,Petrol,Manual,13234,First,18.71,1138,1642778
Volkswagen,Polo,2023,Diesel,Automatic,128987,First,19.9,1216,843074
Mahindra,Bolero,2021,Electric,Manual,30799,Third,300.0,1624,3633225
Hyundai,Creta,2018,Diesel,Automatic,115593,First,20.79,987,1047506
Hyundai,Venue,2023,Petrol,Manual,146711,Third,27.69,815,538192
Volkswagen,Vento,2018,Electric,Manual,104345,First,300.0,802,1143781
Volkswagen,Vento,2021,Electric,Manual,82780,First,300.0,1022,834379
Maruti,Swift,2024,Electric,Manual,138124,First,300.0,882,738403
Audi,A4,2021,Petrol,Manual,15418,Third,8.57,4536,8498673
Mahindra,Thar,2018,CNG,Manual,108752,Second,16.03,1768,1716870
Hyundai,i20,2022,Petrol,Manual,60877,Third,20.65,1318,1155437
Toyota,Camry,2019,Diesel,Automatic,84303,Third,17.9,2752,3688530
Audi,Q5,2019,Petrol,Manual,35258,Second,13.2,2438,4314018
Mercedes,C-Class,2020,Diesel,Automatic,133065,Third,14.34,3028,2426909
Ford,Endeavour,2015,Petrol,Automatic,73670,First,16.45,1830,3312072
BMW,3 Series,2016,Petrol,Manual,14444,Third,12.08,3512,3065633
Maruti,Alto,2020,Petrol,Automatic,70412,First,19.03,1482,1888461
Honda,Amaze,2017,Diesel,Automatic,52018,First,27.24,1554,1754254
Toyota,Camry,2017,Petrol,Automatic,128388,First,13.2,1955,2501293
Toyota,Innova,2015,Diesel,Automatic,78034,Second,17.8,1642,1909481
BMW,5 Series,2025,CNG,Manual,73475,First,12.06,2731,7164528
Mercedes,E-Class,2020,CNG,Automatic,139066,Third,10.7,2473,4968718
Maruti,Vitara Brezza,2021,Petrol,Manual,118062,Second,27.49,871,923255
Audi,A4,2019,CNG,Automatic,110486,Second,10.07,4855,3443321
Audi,A6,2025,Diesel,Automatic,148638,Second,10.13,2001,5317149
Mercedes,GLA,2025,CNG,Automatic,120909,Second,9.5,4767,8986045
Honda,City,2019,CNG,Manual,86374,First,26.07,1030,639609
Toyota,Glanza,2024,Petrol,Automatic,55970,Second,16.18,2971,5056993
Honda,City,2016,Electric,Manual,140779,First,300.0,1275,758678
Hyundai,Venue,2017,Electric,Automatic,137324,Second,300.0,1236,1243528
Volkswagen,Vento,2019,Diesel,Automatic,132034,Third,20.39,1441,876891
Tata,Tiago,2019,CNG,Automatic,26122,Third,19.51,941,1341957
Toyota,Fortuner,2021,Electric,Automatic,127139,Third,300.0,2351,2916261
Mercedes,GLA,2015,Electric,Automatic,97211,First,300.0,3223,6922606
BMW,X5,2018,Electric,Manual,119251,Second,300.0,3989,5206952
